count,avgPrice,vehicleType,year,power,mileage,brand,transmission,Damage
163,4.501,6,2003,124.7,135.031,0,1,0
167,4.876,6,2004,138.3,139.461,0,1,0
199,5.504,6,2005,132.5,130.05,0,1,0
232,7.11,6,2006,143.5,132.091,0,1,0
222,8.107,6,2007,143.3,127.117,0,1,0
146,9.286,6,2008,155.3,115,0,1,0
133,10.095,6,2009,142.9,105.338,0,1,0
117,12.278,6,2010,145.3,94.701,0,1,0
153,13.972,6,2011,143.3,81.471,0,1,0
149,15.136,6,2012,133.2,68.154,0,1,0
119,17.206,6,2013,136.3,47.899,0,1,0
76,20.513,6,2014,144.3,35.592,0,1,0
34,20.094,6,2015,131.7,16.765,0,1,0
7,24.259,6,2016,143.3,7.143,0,1,0
4,1.55,8,1991,80.5,122.5,0,1,0
3,0.6,8,1992,98.7,126.667,0,1,0
2,1.175,8,1993,100,150,0,1,0
7,2.107,8,1994,115.6,140,0,1,0
15,1.091,8,1995,114.4,150,0,1,0
17,1.524,8,1996,118.8,141.176,0,1,0
42,1.723,8,1997,120.8,143.095,0,1,0
88,1.172,8,1998,106.5,141.136,0,1,0
113,1.19,8,1999,113.2,143.496,0,1,0
106,1.253,8,2000,109.8,141.745,0,1,0
86,1.516,8,2001,120.1,145.756,0,1,0
100,1.881,8,2002,117.8,141.45,0,1,0
186,2.431,8,2003,119.8,141.989,0,1,0
165,3.197,8,2004,124,141.333,0,1,0
138,3.624,8,2005,125.2,138.913,0,1,0
189,5.206,8,2006,143.9,136.323,0,1,0
100,5.512,8,2007,140.8,137.55,0,1,0
82,7.398,8,2008,135.5,124.817,0,1,0
77,8.35,8,2009,133.8,114.481,0,1,0
70,9.382,8,2010,294.9,104.286,0,1,0
66,10.223,8,2011,127.2,98.106,0,1,0
71,12.403,8,2012,132.3,77.042,0,1,0
34,13.456,8,2013,124.5,61.765,0,1,0
35,17.169,8,2014,129.5,27.286,0,1,0
6,21.152,8,2015,146.3,17.5,0,1,0
3,2.967,10,1991,78.7,113.333,0,1,0
2,3.375,10,1992,126,150,0,1,0
2,2.85,10,1993,98,137.5,0,1,0
5,1.95,10,1994,85.2,136,0,1,0
6,2.338,10,1995,110.2,145.833,0,1,0
14,2.061,10,1996,97.4,129.643,0,1,0
25,1.909,10,1997,109.6,143.2,0,1,0
29,2.28,10,1998,88.2,129.655,0,1,0
68,1.471,10,1999,98,142.868,0,1,0
107,1.705,10,2000,105.9,145.327,0,1,0
120,1.632,10,2001,102,145.5,0,1,0
145,1.816,10,2002,107.7,141.448,0,1,0
145,2.204,10,2003,113.5,136.966,0,1,0
141,3.026,10,2004,116,139.007,0,1,0
131,4.025,10,2005,126.8,136.641,0,1,0
217,4.575,10,2006,131.6,138.018,0,1,0
125,85.388,10,2007,137.5,135.84,0,1,0
103,6.576,10,2008,134.5,128.01,0,1,0
55,7.509,10,2009,132.5,112.727,0,1,0
57,9.785,10,2010,127.8,96.228,0,1,0
75,10.083,10,2011,115.4,83.2,0,1,0
52,10.83,10,2012,113.9,65.192,0,1,0
39,12.613,10,2013,117.6,49.487,0,1,0
25,16.147,10,2014,118.4,35.6,0,1,0
5,16.12,10,2015,118.4,14,0,1,0
7,1.678,2,1991,121.6,150,0,1,1
15,1.548,2,1992,138.2,143.333,0,1,1
15,1.123,2,1993,128.9,150,0,1,1
11,0.818,2,1994,127.7,141.818,0,1,1
33,1.573,2,1995,136.6,136.97,0,1,1
15,0.721,2,1996,106.7,140.333,0,1,1
23,0.793,2,1997,109.3,145,0,1,1
14,0.957,2,1998,114.4,142.5,0,1,1
14,1.06,2,1999,111.4,143.929,0,1,1
14,1.793,2,2000,124.6,138.929,0,1,1
8,1.593,2,2001,113,117.5,0,1,1
11,2.403,2,2002,141.2,138.636,0,1,1
19,2.189,2,2003,152.4,138.421,0,1,1
12,2.585,2,2004,168.7,128.333,0,1,1
5,4.978,2,2005,176.8,135,0,1,1
11,4.327,2,2006,125,110,0,1,1
1,2.5,2,2007,192,100,0,1,1
7,5.164,2,2008,137.3,87.857,0,1,1
1,3.5,2,2009,160,125,0,1,1
1,8.95,2,2010,213,80,0,1,1
1,16.5,2,2011,160,30,0,1,1
10,0.591,4,1991,84.5,142.5,0,1,1
16,0.377,4,1992,92.4,134.063,0,1,1
13,0.387,4,1993,98.4,129.615,0,1,1
19,0.555,4,1994,85.3,141.842,0,1,1
38,0.576,4,1995,86.9,130.789,0,1,1
61,0.612,4,1996,88.8,138.279,0,1,1
106,0.506,4,1997,84.2,137.972,0,1,1
97,0.609,4,1998,92.9,140.309,0,1,1
95,0.577,4,1999,89.9,139.316,0,1,1
83,0.697,4,2000,84.5,136.627,0,1,1
78,0.804,4,2001,87.5,135.256,0,1,1
74,1.098,4,2002,100.5,138.378,0,1,1
109,1.1,4,2003,90.4,136.835,0,1,1
87,1.698,4,2004,93.5,135.46,0,1,1
82,2.095,4,2005,95.3,127.439,0,1,1
62,2.228,4,2006,90.9,122.984,0,1,1
48,2.87,4,2007,91.1,122.813,0,1,1
46,4.188,4,2008,102.1,103.37,0,1,1
42,3.521,4,2009,87.7,102.619,0,1,1
43,4.437,4,2010,94.8,98.14,0,1,1
21,5.047,4,2011,89.6,70,0,1,1
14,5.806,4,2012,89.2,50.357,0,1,1
11,6.104,4,2013,87.8,52.273,0,1,1
5,6.54,4,2014,76,23,0,1,1
5,7.336,4,2015,94.2,19,0,1,1
1,0.6,6,1991,80,150,0,1,1
5,1.168,6,1992,78.4,112,0,1,1
2,1.05,6,1993,90.5,150,0,1,1
6,2.267,6,1994,102,137.5,0,1,1
4,1.4,6,1995,90.3,113.75,0,1,1
4,1.725,6,1996,109.3,150,0,1,1
5,1.18,6,1997,111.6,150,0,1,1
5,2.05,6,1998,116.2,135,0,1,1
20,1.865,6,1999,117.7,139.75,0,1,1
12,2.071,6,2000,110.5,145,0,1,1
12,1.48,6,2001,108,126.667,0,1,1
15,2.535,6,2002,129.2,142.667,0,1,1
22,2.735,6,2003,129.4,147.727,0,1,1
17,3.266,6,2004,130.4,144.706,0,1,1
